% 
% 
@RELATION MPOC 
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE 4 REAL
@ATTRIBUTE 5 REAL
@ATTRIBUTE 6 REAL
@ATTRIBUTE 7 REAL
@ATTRIBUTE 8 REAL
@ATTRIBUTE 9 REAL
@ATTRIBUTE 10 REAL
@ATTRIBUTE 11 REAL
@ATTRIBUTE 12 REAL
@ATTRIBUTE 13 REAL
@ATTRIBUTE 14 REAL
@ATTRIBUTE 15 REAL
@ATTRIBUTE 16 REAL
@ATTRIBUTE 17 REAL
@ATTRIBUTE 18 REAL
@ATTRIBUTE class {1-0, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9} 

@DATA 
142.56997506843268,57.726508688486874,54.925233469337925,8158.698031668013,8716.482883991539,9096.436709463514,-79.74187285536713,-100.45946709284819,-101.81890260425455,106.01576370562691,106.31419173805023,107.19246579903249,0.0678604805040475,0.07172842973304698,0.07192450645792468,6.141922238582256,5.645160652553163,5.629371384590569,1-0
147.01624147028048,57.63087746188953,54.58247729092669,8945.036301642238,9741.15721868591,10192.245176231185,-83.09684466573805,-106.01314759839443,-107.65763761200293,110.15887464750467,111.78175784979383,112.97200708067939,0.07221714594321514,0.07399443049555214,0.07393840617081919,6.008224196929944,5.8383806855626,5.853937856693034,1-0
145.19931983158736,55.40877385714361,52.77840912077457,9045.493615088963,9811.613969190847,10217.630378710392,-81.62010162517338,-106.0222614025291,-107.5438964288966,109.98538081902403,111.43382370078156,112.56048608992667,0.07497826561331106,0.0772079091487527,0.07710293624462723,5.929482942649252,5.802918459757725,5.823812169121093,1-0
144.16968646194536,51.61459081773974,48.678943696437685,7826.742321636089,9764.31015375766,10230.796045850137,-79.90641133340073,-104.17921105243516,-105.93497224881712,105.33141683134542,108.83924878836613,110.10440991719246,0.06121743854639536,0.06683564396981251,0.06740666679723448,6.267168308299749,5.5897582290357395,5.557284591004515,1-0
135.1724413609318,53.54446001516231,50.820459923269546,9889.320026195819,8576.866588421988,8914.005497630833,-75.915806939864,-100.20387779141143,-101.4032278876795,109.78048095657935,105.80124066673729,106.60239643633665,0.10732982461520064,0.10922739218880745,0.10918621049297042,5.565609161105393,5.515640068142834,5.529259564663443,1-0
147.06306348856492,57.893862107329156,54.92391658007704,8495.236894353895,9698.801041977464,10150.389624064055,-81.92917413654567,-105.41071555511971,-107.0830036789234,108.71152653441801,110.91392686771496,112.11386798122608,0.06526639623169093,0.06789609943897093,0.06798872387872232,6.068046084327743,5.870984295884923,5.869252456009806,1-0
151.43175562269218,56.83194482590253,53.587897097866886,7992.806751356027,10570.103125561447,11127.909231090385,-82.75633722303452,-109.26641842417666,-111.43093251824126,108.15905823690055,114.46832306346313,116.19983747784383,0.05316788797837256,0.05535763988863171,0.05528803064332873,6.258856915090843,6.08091658955888,6.103460892098678,1-0
156.1430136746143,58.64790372670807,55.515603085554,7112.35641921147,10762.545037553318,11304.535706744235,-84.13314762176313,-109.32381918354967,-111.35085546644645,106.28890791787617,114.31039904397193,115.83886246213963,0.04203281950293786,0.0459237973460925,0.04619400942941787,6.440131326204264,5.943704854523667,5.92746901474092,1-0
150.23166805575983,54.286599881246154,50.74021234059475,8324.092920103936,10635.05861615377,11229.991196323275,-84.17659039707486,-109.09413006126334,-111.29592203551206,108.94649641918464,114.1044867479823,115.7731830099172,0.06067569215572742,0.0641214668481724,0.0640571557700831,6.151665383182815,5.823432089774238,5.834010783106152,1-0
147.93430329550117,54.87575550389717,51.493160125803364,8097.814981095198,10209.053392499865,10769.689565309453,-81.90437437796692,-107.06014182527693,-109.18933991597343,107.6025494129027,111.95515207060379,113.56085954039479,0.059532399803747055,0.06329061858655903,0.06344755378597915,6.158306528790884,5.829949248452352,5.82249781499895,1-0
154.4357166018158,57.86116708356494,54.22689109690569,8267.228705330162,10959.78326516805,11588.7491752567,-85.7183085180928,-111.26004169705992,-113.61671005763755,110.05286747295175,116.61759689882422,118.47433757397418,0.05486313293911717,0.056558152539389235,0.05638706968892259,6.186107818432731,6.063285693394544,6.0944214831400885,1-0
152.57414760827677,56.92337549914831,53.57107592639133,7935.768771216981,10531.100333876633,11101.410940173842,-85.22791872925059,-108.5587479016152,-110.6657427995845,108.41298430422763,113.69972191758467,115.24449674718616,0.05485797027620549,0.0593006845646625,0.05963382265346396,6.213897268258728,5.770941523749947,5.759954279549448,1-0
145.80257587502237,56.163973525728935,53.70140014418829,7255.438286960997,9315.669128774824,9680.30438785209,-79.76151448221691,-102.39228346024443,-103.74288921326173,103.54367077678131,107.51407555502391,108.44413097554917,0.05219217792225486,0.057044095080314876,0.05761147057446574,6.397262119503962,5.730969926790463,5.684497872645695,1-0
151.63488520408163,54.225215855573,50.51766581632653,8057.573809508086,10916.307059696319,11555.187172422762,-83.3391026446251,-110.20728011056251,-112.59614234667535,108.50997436626753,114.97466990932715,116.83101547422152,0.05454684849265383,0.05764070715015041,0.05755927477267696,6.232997054378707,5.95348584932914,5.9604212606163935,1-0
156.54878903057585,64.38058946385253,61.50295769714738,8140.0325768840485,10448.705377707527,10897.077847075028,-85.32538376033767,-109.8604115029321,-111.50659019144915,110.29507189978258,115.88649960234046,117.13042951893503,0.04952439758323735,0.051238469709706906,0.051235295153581266,6.138149943282829,6.205742660858502,6.207680229045777,1-0
157.39307633294976,60.66891062523974,57.416442910113794,7711.91628117558,10701.525414637905,11243.569750111634,-86.57325522557687,-109.597868646544,-111.5397696677541,109.1059322329571,115.10956764485624,116.50185852892888,0.04758549754764923,0.05148519081230672,0.05177693613728778,6.269398832109312,5.853277853570653,5.8378684914450725,1-0
148.07087217784812,61.8095650238631,58.94579490096194,8922.685063427665,9363.680093292773,9759.631306981386,-83.23361720801067,-104.66143892572478,-106.04089847206012,110.3884044373138,110.87846397291231,111.79293127542776,0.0692942710374721,0.07184320034406437,0.07195118678465903,5.891234655278863,5.851925483095163,5.847695548467811,1-0
150.81369841269841,62.2862962962963,58.955619047619045,8652.766376365185,9629.620060431871,10103.941663854144,-84.34696614605916,-105.74900306891163,-107.38723651845635,110.3704527499485,111.9327371469572,113.02199466464127,0.0626680785252373,0.06555288790907313,0.0657497963942779,5.978764265149132,5.861993970716155,5.849339975048427,1-0
153.30893054896376,56.17014147851832,53.04755124641218,8089.095224555512,11170.04702433387,11744.738612080062,-83.79509005138648,-112.16497123322124,-114.42391496180848,109.0428236184766,117.23548000524549,119.12306433740986,0.05229880969110218,0.05356158028919532,0.0535190510779864,6.227904787030516,6.198994292431546,6.222738546771566,1-0
159.81661161574456,59.502001330397285,56.40313331498302,7823.022990866969,11781.918121876311,12365.53997595558,-86.13453722134794,-115.05123935380742,-117.27799704793563,110.13130690647957,120.27709961720397,122.12426108321148,0.0439894568434979,0.04550451932748149,0.04540796374396435,6.219469690044221,6.264694573817079,6.290027820686488,1-0
